pmcid,pmid,doi,title,journal,publication_year,license,count,females_count,males_count,n_groups,healthy_count,patient_count,unknown_count
6510960,31075556.0,10.1016/j.nicl.2019.101845,Effects of pseudoexperience on the understanding of hemiplegic movements in physical therapists: An fMRI study,Neuroimage Clin,2019,http://creativecommons.org/licenses/by/4.0/,19.0,,,1,,,19.0
4255056,25506057.0,10.1155/2014/825787,Different Resting-State Functional Connectivity Alterations in Smokers and Nonsmokers with Internet Gaming Addiction,Biomed Res Int,2014,https://creativecommons.org/licenses/by/3.0/,30.0,,,1,30.0,,
6140103,30225341.0,10.1523/ENEURO.0039-18.2018,Motivation Modulates Brain Networks in Response to Faces Varying in Race and Status: A Multivariate Approach,eNeuro,2018,http://creativecommons.org/licenses/by/4.0/,61.0,,,1,,,61.0
3628360,23616756.0,10.3389/fnhum.2013.00140,Brain and effort: brain activation and effort-related working memory in healthy participants and patients with working memory deficits,Front Hum Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,26.0,,,1,,,26.0
4327739,25762915.0,10.3389/fnhum.2015.00071,Love-related changes in the brain: a resting-state functional magnetic resonance imaging study,Front Hum Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,100.0,,,1,100.0,,
7603304,33127943.0,10.1038/s41598-020-75111-8,Visual word form processing deficits driven by severity of reading impairments in children with developmental dyslexia,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/,140.0,,,1,,,140.0
8354930,34247268.0,10.1007/s00429-021-02332-6,Neural encoding and functional interactions underlying pantomimed movements,Brain Struct Funct,2021,https://creativecommons.org/licenses/by/4.0/,17.0,7.0,10.0,1,,,17.0
4990538,27594829.0,10.3389/fnhum.2016.00418,Aversive Counterconditioning Attenuates Reward Signaling in the Ventral Striatum,Front Hum Neurosci,2016,http://creativecommons.org/licenses/by/4.0/,25.0,12.0,13.0,1,25.0,,
6362203,30718492.0,10.1038/s41398-019-0399-4,Effects of familial risk and stimulant drug use on the anticipation of monetary reward: an fMRI study,Transl Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,4.0,,,1,,,4.0
4067566,25009519.0,10.3389/fpsyg.2014.00636,Objects tell us what action we can expect: dissociating brain areas for retrieval and exploitation of action knowledge during action observation in fMRI,Front Psychol,2014,http://creativecommons.org/licenses/by/3.0/,17.0,13.0,4.0,1,17.0,,
6836753,31720106.0,10.7717/peerj.7957,Allelic variant in SLC6A3 rs393795 affects cerebral regional homogeneity and gait dysfunction in patients with Parkinson’s disease,PeerJ,2019,https://creativecommons.org/licenses/by/4.0/,45.0,,,1,45.0,,
5885301,29618332.0,10.1186/s12888-018-1675-1,Schizophrenia alters intra-network functional connectivity in the caudate for detecting speech under informational speech masking conditions,BMC Psychiatry,2018,http://creativecommons.org/licenses/by/4.0/,6.0,,,1,,6.0,
