pmcid,n_participants
3593578,24.0
3744508,37.0
8286104,73.0
3252366,11.0
2654525,
4109700,6.0
7451150,
3315678,18.0
7936696,
5466595,10.0
5223054,
8443466,43.0
8900534,42.0
4139958,12.0
4001872,8.0
3622132,13.0
6234582,
6861557,116.0
4373272,15.0
8833229,34.0
6856651,16.0
4488375,
7643110,38.0
5845706,42.0
4077566,56.0
6990091,
7759206,128.0
3639273,16.0
6175971,27.0
6398246,22.0
7378795,
8851385,
3388891,
6685442,44.0
8865143,
4785374,32.0
5984739,30.0
3716940,24.0
7522394,
8498462,21.0
5434171,
6434179,
7063030,
3057942,
5936771,18.0
4325923,4.0
5312947,45.0
4801124,
5247468,12.0
3059884,12.0
6597703,28.0
4018353,
5844916,57.0
2733194,10.0
4978833,44.0
6292425,200.0
7750687,
4345335,
3812565,4.0
4332542,
4646462,29.0
7907898,10.0
6151682,14.0
5646154,29.0
7355229,
6603018,
3804629,15.0
7377905,28.0
4288239,
3711903,
2904054,
4074702,61.0
6714062,
3986941,
4042095,18.0
5807408,15.0
8785641,
3175755,
5758492,
4224976,20.0
6034587,
4334979,59.0
4020302,
4375642,113.0
3979738,
8159858,
6491783,17.0
8433283,
8602349,40.0
8814632,
4586278,32.0
7509081,
7190157,
7443230,71.0
6969304,
6023115,46.0
2824708,
5472159,17.0
8261303,14.0
4354285,12.0
3750036,56.0
7904817,22.0
6162305,26.0
4658414,93.0
3498728,16.0
4046318,16.0
5985698,
2772079,
3779225,19.0
6382150,
5897436,
4477192,
7978137,
8417797,99.0
4793124,60.0
8195899,34.0
8341642,
6761222,59.0
7294058,1.0
